Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-04-10-11-33-20.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,3617,59.9455484139644
T01,trial_2025-04-10-11-33-20.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,3616,59.9330520566576
T02,trial_2025-04-10-11-36-25.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,609,59.8482899562122
T02,trial_2025-04-10-11-36-25.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,611,60.0616963761548
T03,trial_2025-04-11-11-45-12.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,8727,59.938879359768
T03,trial_2025-04-11-11-45-12.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,8724,59.9307844280018
T04,trial_2025-04-11-11-48-33.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,8941,59.9431819999328
T04,trial_2025-04-11-11-48-33.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,8933,59.9373586604896
T05,trial_2025-04-11-11-51-41.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,12082,59.9393661873282
T05,trial_2025-04-11-11-51-41.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,12082,59.933476541523
T06,trial_2025-04-11-11-55-45.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,13036,59.9350619252863
T06,trial_2025-04-11-11-55-45.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,13034,59.9281100890469
T07,trial_2025-04-11-12-01-14.bag,/left/decklink/ECM/image_raw/compressed,T07_left.mp4,1788,59.9139136256637
T07,trial_2025-04-11-12-01-14.bag,/right/decklink/ECM/image_raw/compressed,T07_right.mp4,1789,59.9097373652001
T08,trial_2025-04-11-12-03-00.bag,/left/decklink/ECM/image_raw/compressed,T08_left.mp4,14110,59.9393536909888
T08,trial_2025-04-11-12-03-00.bag,/right/decklink/ECM/image_raw/compressed,T08_right.mp4,14109,59.9364550481856
T09,trial_2025-04-11-12-08-34.bag,/left/decklink/ECM/image_raw/compressed,T09_left.mp4,13229,59.9374795936052
T09,trial_2025-04-11-12-08-34.bag,/right/decklink/ECM/image_raw/compressed,T09_right.mp4,13230,59.9408758194424
T10,trial_2025-04-11-12-13-10.bag,/left/decklink/ECM/image_raw/compressed,T10_left.mp4,10899,59.9402265705362
T10,trial_2025-04-11-12-13-10.bag,/right/decklink/ECM/image_raw/compressed,T10_right.mp4,10897,59.9346742511127
T11,trial_2025-04-11-12-17-15.bag,/left/decklink/ECM/image_raw/compressed,T11_left.mp4,7545,59.9381999691279
T11,trial_2025-04-11-12-17-15.bag,/right/decklink/ECM/image_raw/compressed,T11_right.mp4,7538,59.9258413896775
