Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-04-16-16-35-05.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,8052,59.9396919643618
T01,trial_2025-04-16-16-35-05.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,8052,59.9357990287361
T02,trial_2025-04-16-16-37-54.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,11964,59.9391879541109
T02,trial_2025-04-16-16-37-54.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,11965,59.9360745007416
T03,trial_2025-04-16-16-42-05.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,9414,59.9397071243366
T03,trial_2025-04-16-16-42-05.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,9412,59.9216056865888
T04,trial_2025-04-16-16-45-47.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,7244,59.9349310239791
T04,trial_2025-04-16-16-45-47.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,7243,59.9264765590647
T05,trial_2025-04-16-16-48-57.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,7199,59.9302517289112
T05,trial_2025-04-16-16-48-57.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,7201,59.9385330403501
T06,trial_2025-04-16-16-51-36.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,8623,59.9292532692113
T06,trial_2025-04-16-16-51-36.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,8624,59.9396600328313
