Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-04-18-13-09-37.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,12094,59.9297947089592
T01,trial_2025-04-18-13-09-37.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,12096,59.9371527018978
T02,trial_2025-04-18-13-14-44.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,14361,59.9368898844966
T02,trial_2025-04-18-13-14-44.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,14362,59.9388448961478
T03,trial_2025-04-18-13-20-19.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,14664,59.9246997414302
T03,trial_2025-04-18-13-20-19.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,14667,59.9330001267969
T04,trial_2025-04-18-13-25-32.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,17062,59.9402328930052
T04,trial_2025-04-18-13-25-32.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,17063,59.9382016056043
T05,trial_2025-04-18-13-31-41.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,12825,59.9238142296373
T05,trial_2025-04-18-13-31-41.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,12821,59.93124852697
T06,trial_2025-04-18-13-37-24.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,12501,59.9396183982553
T06,trial_2025-04-18-13-37-24.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,12492,59.9289565958148
T07,trial_2025-04-18-13-42-11.bag,/left/decklink/ECM/image_raw/compressed,T07_left.mp4,14697,59.9385368448395
T07,trial_2025-04-18-13-42-11.bag,/right/decklink/ECM/image_raw/compressed,T07_right.mp4,14697,59.9357626300814
