Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-04-24-12-46-59.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,7727,59.9428406820408
T01,trial_2025-04-24-12-46-59.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,7726,59.9284372191669
T02,trial_2025-04-24-12-49-57.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,5904,59.9294174909555
T02,trial_2025-04-24-12-49-57.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,5905,59.9457863566374
T03,trial_2025-04-24-12-52-22.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,8849,59.9305025247939
T03,trial_2025-04-24-12-52-22.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,8841,59.9297408508977
T04,trial_2025-04-24-12-55-42.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,5484,59.9369846145737
T04,trial_2025-04-24-12-55-42.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,5483,59.9398780657527
T05,trial_2025-04-24-12-58-22.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,8188,59.9291359604622
T05,trial_2025-04-24-12-58-22.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,8190,59.9404901249585
T06,trial_2025-04-24-13-01-21.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,5077,59.9256487367124
T06,trial_2025-04-24-13-01-21.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,5078,59.938400873481
