Frame,Timestamp
1,1745514082.02434
2,1745514082.04709
3,1745514082.06554
4,1745514082.08142
5,1745514082.0955
6,1745514082.10897
7,1745514082.12989
8,1745514082.14499
9,1745514082.15966
10,1745514082.17205
11,1745514082.19188
12,1745514082.22695
13,1745514082.24791
14,1745514082.26631
15,1745514082.28176
16,1745514082.29516
17,1745514082.30743
18,1745514082.32005
19,1745514082.33242
20,1745514082.34556
21,1745514082.35809
22,1745514082.37039
23,1745514082.39144
24,1745514082.40753
25,1745514082.4263
26,1745514082.44171
27,1745514082.45763
28,1745514082.47124
29,1745514082.49312
30,1745514082.51861
31,1745514082.53839
32,1745514082.5555
33,1745514082.57021
34,1745514082.58367
35,1745514082.59666
36,1745514082.60899
37,1745514082.62356
38,1745514082.65087
39,1745514082.67104
40,1745514082.68968
41,1745514082.70538
42,1745514082.71956
43,1745514082.73288
44,1745514082.74529
45,1745514082.76097
46,1745514082.77265
47,1745514082.78504
48,1745514082.79741
49,1745514082.81774
50,1745514082.83237
51,1745514082.85447
52,1745514082.8744
53,1745514082.8937
54,1745514082.90933
55,1745514082.92278
56,1745514082.93461
57,1745514082.95036
58,1745514082.96328
59,1745514082.98358
60,1745514082.9977
61,1745514083.01473
62,1745514083.02794
63,1745514083.0455
64,1745514083.07693
65,1745514083.09987
66,1745514083.11943
67,1745514083.13614
68,1745514083.15037
69,1745514083.16364
70,1745514083.17615
71,1745514083.19292
72,1745514083.22336
73,1745514083.24579
74,1745514083.26521
75,1745514083.281
76,1745514083.29522
77,1745514083.30789
78,1745514083.32078
79,1745514083.33517
80,1745514083.34802
81,1745514083.36129
82,1745514083.3738
83,1745514083.38881
84,1745514083.40125
85,1745514083.42751
86,1745514083.45138
87,1745514083.47138
88,1745514083.48844
89,1745514083.50346
90,1745514083.51661
91,1745514083.52884
92,1745514083.54091
93,1745514083.55935
94,1745514083.57481
95,1745514083.58922
96,1745514083.60212
97,1745514083.62253
98,1745514083.63677
99,1745514083.65714
100,1745514083.67237
101,1745514083.69256
102,1745514083.72345
103,1745514083.74624
104,1745514083.76551
105,1745514083.78193
106,1745514083.79616
107,1745514083.80963
108,1745514083.82299
109,1745514083.83483
110,1745514083.84974
111,1745514083.86174
112,1745514083.87378
113,1745514083.89073
114,1745514083.90367
115,1745514083.92759
116,1745514083.9568
117,1745514083.97857
118,1745514083.99784
119,1745514084.01482
120,1745514084.02996
121,1745514084.04285
122,1745514084.05522
123,1745514084.06771
124,1745514084.07986
125,1745514084.09233
126,1745514084.10467
127,1745514084.12948
128,1745514084.14634
129,1745514084.16352
130,1745514084.17769
131,1745514084.19272
132,1745514084.22275
133,1745514084.24952
134,1745514084.27575
135,1745514084.29614
136,1745514084.31731
137,1745514084.33236
138,1745514084.34855
139,1745514084.36249
140,1745514084.37694
141,1745514084.38945
142,1745514084.4018
143,1745514084.41466
144,1745514084.42702
145,1745514084.43971
146,1745514084.45384
147,1745514084.46574
148,1745514084.48046
149,1745514084.4939
150,1745514084.50558
151,1745514084.52975
152,1745514084.55528
153,1745514084.57415
154,1745514084.59127
155,1745514084.60568
156,1745514084.61868
157,1745514084.63134
158,1745514084.64359
159,1745514084.65691
160,1745514084.66861
161,1745514084.68676
162,1745514084.69873
163,1745514084.72074
164,1745514084.75085
165,1745514084.77315
166,1745514084.79471
167,1745514084.8128
168,1745514084.82765
169,1745514084.8399
170,1745514084.85253
171,1745514084.86865
172,1745514084.88068
173,1745514084.89319
174,1745514084.90623
175,1745514084.92513
176,1745514084.93839
177,1745514084.96261
178,1745514084.97529
179,1745514084.99667
180,1745514085.01243
181,1745514085.02809
182,1745514085.05731
183,1745514085.08013
184,1745514085.09912
185,1745514085.11508
186,1745514085.12949
187,1745514085.14201
188,1745514085.15425
189,1745514085.16643
190,1745514085.17873
191,1745514085.19092
192,1745514085.20316
193,1745514085.22805
194,1745514085.24443
195,1745514085.26133
196,1745514085.27475
197,1745514085.29441
198,1745514085.31853
199,1745514085.3361
200,1745514085.35558
201,1745514085.36836
202,1745514085.38068
203,1745514085.39303
204,1745514085.40492
205,1745514085.42566
206,1745514085.44958
207,1745514085.46887
208,1745514085.48633
209,1745514085.50141
210,1745514085.51516
211,1745514085.52784
212,1745514085.54365
213,1745514085.56023
214,1745514085.57385
215,1745514085.58922
216,1745514085.60167
217,1745514085.62903
218,1745514085.64805
219,1745514085.66511
220,1745514085.68101
221,1745514085.69404
222,1745514085.70628
223,1745514085.72797
224,1745514085.74012
225,1745514085.76075
226,1745514085.79125
227,1745514085.81382
228,1745514085.83284
229,1745514085.84938
230,1745514085.86412
231,1745514085.87673
232,1745514085.88953
233,1745514085.90179
234,1745514085.91447
235,1745514085.92737
236,1745514085.95846
237,1745514085.98227
238,1745514086.00347
239,1745514086.01938
240,1745514086.03344
241,1745514086.04584
242,1745514086.0586
243,1745514086.07138
244,1745514086.08659
245,1745514086.10272
246,1745514086.13737
247,1745514086.15986
248,1745514086.17886
249,1745514086.19558
250,1745514086.21039
251,1745514086.22333
252,1745514086.23577
253,1745514086.248
254,1745514086.26049
255,1745514086.27534
256,1745514086.28831
257,1745514086.30378
258,1745514086.33571
259,1745514086.35357
260,1745514086.36935
261,1745514086.38315
262,1745514086.39609
263,1745514086.40908
264,1745514086.42197
265,1745514086.43506
266,1745514086.44795
267,1745514086.46034
268,1745514086.47254
269,1745514086.48497
270,1745514086.49729
271,1745514086.51676
272,1745514086.54767
273,1745514086.57103
274,1745514086.59886
275,1745514086.61907
276,1745514086.63945
277,1745514086.65739
278,1745514086.67
279,1745514086.68598
280,1745514086.69827
281,1745514086.71184
282,1745514086.72542
283,1745514086.73888
284,1745514086.75086
285,1745514086.76334
286,1745514086.78051
287,1745514086.79578
288,1745514086.80893
289,1745514086.83563
290,1745514086.8507
291,1745514086.86426
292,1745514086.87735
293,1745514086.89091
294,1745514086.90299
295,1745514086.92487
296,1745514086.95394
297,1745514086.98074
298,1745514087.00014
299,1745514087.01485
300,1745514087.02809
301,1745514087.04051
302,1745514087.05243
303,1745514087.06452
304,1745514087.07781
305,1745514087.10211
306,1745514087.12256
307,1745514087.13967
308,1745514087.15433
309,1745514087.16814
310,1745514087.1811
311,1745514087.19666
312,1745514087.22728
313,1745514087.25533
314,1745514087.28032
315,1745514087.3004
316,1745514087.31693
317,1745514087.33292
318,1745514087.3489
319,1745514087.36215
320,1745514087.37438
321,1745514087.38832
322,1745514087.40046
323,1745514087.41246
324,1745514087.4247
325,1745514087.43701
326,1745514087.44885
327,1745514087.46387
328,1745514087.47624
329,1745514087.49802
330,1745514087.5128
331,1745514087.52915
332,1745514087.54344
333,1745514087.56168
334,1745514087.59149
335,1745514087.62298
336,1745514087.64738
337,1745514087.66683
338,1745514087.68291
339,1745514087.69743
340,1745514087.71135
341,1745514087.72329
342,1745514087.75563
343,1745514087.78024
344,1745514087.80727
345,1745514087.82834
346,1745514087.84599
347,1745514087.86091
348,1745514087.87348
349,1745514087.88582
350,1745514087.8984
351,1745514087.91024
352,1745514087.92258
353,1745514087.95304
354,1745514087.97496
355,1745514087.994
356,1745514088.0098
357,1745514088.02453
358,1745514088.03757
359,1745514088.04973
360,1745514088.06214
361,1745514088.07375
362,1745514088.08593
363,1745514088.09827
364,1745514088.11056
365,1745514088.12281
366,1745514088.13509
367,1745514088.14785
368,1745514088.16033
369,1745514088.17946
370,1745514088.19265
371,1745514088.20457
372,1745514088.21688
373,1745514088.2302
374,1745514088.24203
375,1745514088.26345
376,1745514088.29471
377,1745514088.32562
378,1745514088.34677
379,1745514088.36494
380,1745514088.38026
381,1745514088.39512
382,1745514088.40833
383,1745514088.42049
384,1745514088.43296
385,1745514088.44499
386,1745514088.45711
387,1745514088.4696
388,1745514088.48224
389,1745514088.49831
390,1745514088.51176
391,1745514088.53142
392,1745514088.54712
393,1745514088.58228
394,1745514088.6086
395,1745514088.62962
396,1745514088.64768
397,1745514088.66387
398,1745514088.67764
399,1745514088.69084
400,1745514088.70325
401,1745514088.71539
402,1745514088.72757
403,1745514088.73941
404,1745514088.75193
