Frame,Timestamp
1,1745513397.72718
2,1745513397.75278
3,1745513397.77176
4,1745513397.78805
5,1745513397.80187
6,1745513397.81429
7,1745513397.828
8,1745513397.83902
9,1745513397.86076
10,1745513397.8758
11,1745513397.89362
12,1745513397.92285
13,1745513397.94255
14,1745513397.95901
15,1745513397.97311
16,1745513397.98561
17,1745513397.99734
18,1745513398.00883
19,1745513398.02028
20,1745513398.0315
21,1745513398.05834
22,1745513398.096
23,1745513398.12643
24,1745513398.14632
25,1745513398.16433
26,1745513398.18082
27,1745513398.19441
28,1745513398.2067
29,1745513398.21861
30,1745513398.23013
31,1745513398.24136
32,1745513398.25346
33,1745513398.26514
34,1745513398.27585
35,1745513398.29199
36,1745513398.31504
37,1745513398.33225
38,1745513398.34648
39,1745513398.36763
40,1745513398.3807
41,1745513398.39599
42,1745513398.4243
43,1745513398.44701
44,1745513398.46496
45,1745513398.4803
46,1745513398.49352
47,1745513398.50541
48,1745513398.51659
49,1745513398.52801
50,1745513398.53927
51,1745513398.56111
52,1745513398.59385
53,1745513398.61739
54,1745513398.63519
55,1745513398.65097
56,1745513398.66464
57,1745513398.67677
58,1745513398.68834
59,1745513398.69951
60,1745513398.71047
61,1745513398.73425
62,1745513398.75257
63,1745513398.76912
64,1745513398.78308
65,1745513398.7963
66,1745513398.80897
67,1745513398.82175
68,1745513398.83354
69,1745513398.85977
70,1745513398.87929
71,1745513398.89823
72,1745513398.91468
73,1745513398.93512
74,1745513398.95068
75,1745513398.9649
76,1745513398.97715
77,1745513398.98944
78,1745513399.00035
79,1745513399.027
80,1745513399.04035
81,1745513399.05345
82,1745513399.06559
83,1745513399.08692
84,1745513399.10143
85,1745513399.12778
86,1745513399.14552
87,1745513399.16099
88,1745513399.17428
89,1745513399.18655
90,1745513399.19829
91,1745513399.22428
92,1745513399.24567
93,1745513399.26386
94,1745513399.27681
95,1745513399.29215
96,1745513399.30497
97,1745513399.32783
98,1745513399.35347
99,1745513399.37604
100,1745513399.39554
101,1745513399.41161
102,1745513399.42493
103,1745513399.43732
104,1745513399.4494
105,1745513399.4612
106,1745513399.49132
107,1745513399.51344
108,1745513399.53106
109,1745513399.54654
110,1745513399.56007
111,1745513399.57227
112,1745513399.58343
113,1745513399.59514
114,1745513399.60632
115,1745513399.62522
116,1745513399.6538
117,1745513399.6725
118,1745513399.68884
119,1745513399.70313
120,1745513399.71605
121,1745513399.72975
122,1745513399.74092
123,1745513399.76156
124,1745513399.77603
125,1745513399.79443
126,1745513399.82362
127,1745513399.84553
128,1745513399.86384
129,1745513399.87913
130,1745513399.89266
131,1745513399.90453
132,1745513399.91593
133,1745513399.9293
134,1745513399.94289
135,1745513399.95873
136,1745513399.98859
137,1745513400.01091
138,1745513400.02747
139,1745513400.04096
140,1745513400.05358
141,1745513400.065
142,1745513400.07655
143,1745513400.0953
144,1745513400.11113
145,1745513400.12953
146,1745513400.16079
147,1745513400.18288
148,1745513400.20097
149,1745513400.21699
150,1745513400.23102
151,1745513400.24316
152,1745513400.25501
153,1745513400.2663
154,1745513400.27718
155,1745513400.29507
156,1745513400.32489
157,1745513400.34901
158,1745513400.36744
159,1745513400.38545
160,1745513400.39845
161,1745513400.41105
162,1745513400.4237
163,1745513400.43519
164,1745513400.44645
165,1745513400.46222
166,1745513400.47513
167,1745513400.48868
168,1745513400.49973
169,1745513400.51936
170,1745513400.55448
171,1745513400.58162
172,1745513400.60384
173,1745513400.62238
174,1745513400.63893
175,1745513400.66208
176,1745513400.67915
177,1745513400.69467
178,1745513400.7084
179,1745513400.72277
180,1745513400.7352
181,1745513400.74714
182,1745513400.75848
183,1745513400.76975
184,1745513400.78141
185,1745513400.79648
186,1745513400.8242
187,1745513400.84556
188,1745513400.86398
189,1745513400.87865
190,1745513400.89189
191,1745513400.90364
192,1745513400.91508
193,1745513400.92912
194,1745513400.9532
195,1745513400.97119
196,1745513400.9877
197,1745513401.00424
198,1745513401.01693
199,1745513401.02853
200,1745513401.03992
201,1745513401.06317
202,1745513401.0919
203,1745513401.10282
204,1745513401.11428
205,1745513401.12837
206,1745513401.16067
207,1745513401.18195
208,1745513401.20042
209,1745513401.21672
210,1745513401.23068
211,1745513401.24587
212,1745513401.26045
213,1745513401.27173
214,1745513401.28301
215,1745513401.29692
216,1745513401.30969
217,1745513401.33198
218,1745513401.36406
219,1745513401.38709
220,1745513401.40613
221,1745513401.42215
222,1745513401.43568
223,1745513401.44792
224,1745513401.45941
225,1745513401.47095
226,1745513401.48234
227,1745513401.50151
228,1745513401.51611
229,1745513401.52921
230,1745513401.54095
231,1745513401.56206
232,1745513401.57659
233,1745513401.59577
234,1745513401.62522
235,1745513401.65744
236,1745513401.6879
237,1745513401.71166
238,1745513401.73164
239,1745513401.74885
240,1745513401.76428
241,1745513401.77753
242,1745513401.78918
243,1745513401.80131
244,1745513401.81253
245,1745513401.8243
246,1745513401.83614
247,1745513401.84722
248,1745513401.8593
249,1745513401.87046
250,1745513401.88234
251,1745513401.89839
252,1745513401.90907
253,1745513401.93056
254,1745513401.96027
255,1745513401.98292
256,1745513402.00202
257,1745513402.01761
258,1745513402.03042
259,1745513402.04909
260,1745513402.06658
261,1745513402.08167
262,1745513402.09435
263,1745513402.10602
264,1745513402.11743
265,1745513402.1308
266,1745513402.15721
267,1745513402.17638
268,1745513402.19288
269,1745513402.20782
270,1745513402.22166
271,1745513402.2336
272,1745513402.24566
273,1745513402.26318
274,1745513402.27621
275,1745513402.2961
276,1745513402.30973
277,1745513402.33044
278,1745513402.34283
279,1745513402.36508
