Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-05-23-15-32-22.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,13490,59.9451697503698
T01,trial_2025-05-23-15-32-22.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,13487,59.9386101187447
T02,trial_2025-05-23-15-36-57.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,8706,59.9458110232934
T02,trial_2025-05-23-15-36-57.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,8703,59.9305038902068
T03,trial_2025-05-23-15-39-55.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,1421,59.9451558105497
T03,trial_2025-05-23-15-39-55.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,1417,59.907324025539
T04,trial_2025-05-23-15-42-48.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,6418,59.9358064599026
T04,trial_2025-05-23-15-42-48.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,6416,59.9363859186786
T05,trial_2025-05-23-15-45-10.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,6551,59.9490918626279
T05,trial_2025-05-23-15-45-10.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,6548,59.9405415485208
T06,trial_2025-05-23-15-47-32.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,10452,59.9381781000813
T06,trial_2025-05-23-15-47-32.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,10452,59.9355145139371
T07,trial_2025-05-23-15-51-28.bag,/left/decklink/ECM/image_raw/compressed,T07_left.mp4,8126,59.9355123130387
T07,trial_2025-05-23-15-51-28.bag,/right/decklink/ECM/image_raw/compressed,T07_right.mp4,8126,59.9292696915826
