Trial,BagFile,Topic,VideoFile,NumFrames,FPS
T01,trial_2025-04-15-09-57-33.bag,/left/decklink/ECM/image_raw/compressed,T01_left.mp4,7622,58.9174239904591
T01,trial_2025-04-15-09-57-33.bag,/right/decklink/ECM/image_raw/compressed,T01_right.mp4,7752,59.9243446715787
T02,trial_2025-04-15-10-00-14.bag,/left/decklink/ECM/image_raw/compressed,T02_left.mp4,8723,57.9833737823947
T02,trial_2025-04-15-10-00-14.bag,/right/decklink/ECM/image_raw/compressed,T02_right.mp4,9007,59.9143191350419
T03,trial_2025-04-15-10-03-33.bag,/left/decklink/ECM/image_raw/compressed,T03_left.mp4,6103,57.5352786177311
T03,trial_2025-04-15-10-03-33.bag,/right/decklink/ECM/image_raw/compressed,T03_right.mp4,6356,59.934458489976
T04,trial_2025-04-15-10-05-48.bag,/left/decklink/ECM/image_raw/compressed,T04_left.mp4,7853,57.0822907179109
T04,trial_2025-04-15-10-05-48.bag,/right/decklink/ECM/image_raw/compressed,T04_right.mp4,8246,59.9364380481792
T05,trial_2025-04-15-10-08-43.bag,/left/decklink/ECM/image_raw/compressed,T05_left.mp4,5869,58.4635105642039
T05,trial_2025-04-15-10-08-43.bag,/right/decklink/ECM/image_raw/compressed,T05_right.mp4,6017,59.9261479425898
T06,trial_2025-04-15-10-10-53.bag,/left/decklink/ECM/image_raw/compressed,T06_left.mp4,6003,57.1284188853947
T06,trial_2025-04-15-10-10-53.bag,/right/decklink/ECM/image_raw/compressed,T06_right.mp4,6298,59.9377844855587
